Algoritmo,Caso,Desv,Tiempo(ms),Evals
ILS-ES,GKD-b_9_n25_m7.txt,11.52,83.40,15931
LSrandom,GKD-b_10_n25_m7.txt,46.92,0.00,194
LSrandom,GKD-b_11_n50_m5.txt,84.72,0.00,436
LSrandom,GKD-b_12_n50_m5.txt,85.17,0.00,347
LSrandom,GKD-b_13_n50_m5.txt,82.12,0.00,415
LSrandom,GKD-b_14_n50_m5.txt,90.64,0.00,311
LSrandom,GKD-b_15_n50_m5.txt,80.57,0.00,425
LSrandom,GKD-b_16_n50_m15.txt,62.33,5.20,1313
LSrandom,GKD-b_17_n50_m15.txt,48.78,5.60,1230
LSrandom,GKD-b_18_n50_m15.txt,49.52,6.00,1566
LSrandom,GKD-b_19_n50_m15.txt,54.58,6.60,1619
LSrandom,GKD-b_1_n25_m2.txt,0.00,0.00,46
LSrandom,GKD-b_20_n50_m15.txt,45.84,7.00,1755
LSrandom,GKD-b_21_n100_m10.txt,67.47,6.00,2661
LSrandom,GKD-b_22_n100_m10.txt,66.63,5.40,2381
LSrandom,GKD-b_23_n100_m10.txt,58.70,4.60,1847
LSrandom,GKD-b_24_n100_m10.txt,75.17,4.40,1979
LSrandom,GKD-b_25_n100_m10.txt,49.88,4.80,2001
LSrandom,GKD-b_26_n100_m30.txt,45.13,86.60,6389
LSrandom,GKD-b_27_n100_m30.txt,59.95,131.40,10154
LSrandom,GKD-b_28_n100_m30.txt,71.01,83.00,6036
LSrandom,GKD-b_29_n100_m30.txt,60.13,83.60,6295
LSrandom,GKD-b_2_n25_m2.txt,0.00,0.00,46
LSrandom,GKD-b_30_n100_m30.txt,55.15,105.80,8092
LSrandom,GKD-b_31_n125_m12.txt,70.19,18.60,5934
LSrandom,GKD-b_32_n125_m12.txt,59.42,9.40,2881
LSrandom,GKD-b_33_n125_m12.txt,59.06,11.40,3670
LSrandom,GKD-b_34_n125_m12.txt,58.30,10.60,3394
LSrandom,GKD-b_35_n125_m12.txt,71.27,10.80,3142
LSrandom,GKD-b_36_n125_m37.txt,58.09,206.00,10804
LSrandom,GKD-b_37_n125_m37.txt,55.37,336.40,17880
LSrandom,GKD-b_38_n125_m37.txt,61.14,186.80,9693
LSrandom,GKD-b_39_n125_m37.txt,60.29,212.20,11256
LSrandom,GKD-b_3_n25_m2.txt,0.00,0.00,46
LSrandom,GKD-b_40_n125_m37.txt,54.39,205.80,10596
LSrandom,GKD-b_41_n150_m15.txt,59.51,22.60,5002
LSrandom,GKD-b_42_n150_m15.txt,54.51,23.20,5148
LSrandom,GKD-b_43_n150_m15.txt,52.63,26.80,6425
LSrandom,GKD-b_44_n150_m15.txt,53.66,22.20,4739
LSrandom,GKD-b_45_n150_m15.txt,41.83,20.00,4289
LSrandom,GKD-b_46_n150_m45.txt,54.02,465.20,17248
LSrandom,GKD-b_47_n150_m45.txt,44.39,434.60,15840
LSrandom,GKD-b_48_n150_m45.txt,52.56,436.60,16175
LSrandom,GKD-b_49_n150_m45.txt,56.32,287.00,10196
LSrandom,GKD-b_4_n25_m2.txt,0.00,0.00,46
LSrandom,GKD-b_50_n150_m45.txt,54.39,478.40,17925
LSrandom,GKD-b_5_n25_m2.txt,0.00,0.00,46
LSrandom,GKD-b_6_n25_m7.txt,38.19,0.00,272
LSrandom,GKD-b_7_n25_m7.txt,61.14,0.00,221
LSrandom,GKD-b_8_n25_m7.txt,58.55,0.00,277
LSrandom,GKD-b_9_n25_m7.txt,55.17,0.20,358
Mejor Práctica 2,GKD-b_10_n25_m7.txt,9.83,200.40,100000
Mejor Práctica 2,GKD-b_11_n50_m5.txt,63.37,165.80,100000
Mejor Práctica 2,GKD-b_12_n50_m5.txt,44.32,165.40,100000
Mejor Práctica 2,GKD-b_13_n50_m5.txt,63.75,164.80,100000
Mejor Práctica 2,GKD-b_14_n50_m5.txt,71.30,166.00,100000
Mejor Práctica 2,GKD-b_15_n50_m5.txt,53.28,164.80,100000
Mejor Práctica 2,GKD-b_16_n50_m15.txt,24.95,396.80,100000
Mejor Práctica 2,GKD-b_17_n50_m15.txt,23.40,407.00,100000
Mejor Práctica 2,GKD-b_18_n50_m15.txt,23.75,401.00,100000
